3114006,CARMO DA MATA,11439,"0,689","14263,7"
3114105,CARMO DE MINAS,14769,"0,682","12390,03"
3114204,CARMO DO CAJURU,22257,"0,71","16400,21"
3114303,CARMO DO PARANAIBA,30324,"0,705","19019,79"
3114402,CARMO DO RIO CLARO,21180,"0,733","17229,65"
3114501,CARMOPOLIS DE MINAS,19144,"0,7","19670,52"
3114550,CARNEIRINHO,9986,"0,741","26113,14"
3114600,CARRANCAS,4044,"0,725","15979,96"
3114709,CARVALHOPOLIS,3560,"0,724","13405,95"
3114808,CARVALHOS,4495,"0,646","10096,79"
3114907,CASA GRANDE,2260,"0,652","13145,65"
3115003,CASCALHO RICO,3057,"0,721","15988,07"
3115102,CASSIA,17739,"0,704","16016,58"
3115201,CONCEICAO DA BARRA DE MINAS,3962,"0,685","9865,43"
3115300,CATAGUASES,74691,"0,751","19073,61"
3115359,CATAS ALTAS,5330,"0,684","52583,62"
3115409,CATAS ALTAS DA NORUEGA,3629,"0,6","7915,11"
3115458,CATUJI,6366,"0,54","8784,17"
3115474,CATUTI,5008,"0,621",6867
3115508,CAXAMBU,21703,"0,743","13570,61"
3115607,CEDRO DO ABAETE,1171,"0,678","14177,33"
3115706,CENTRAL DE MINAS,7017,"0,665","10608,8"
3115805,CENTRALINA,10425,"0,678","14925,18"
3115904,CHACARA,3121,"0,664","11159,86"
3116001,CHALE,5709,"0,655","9941,07"
3116100,CHAPADA DO NORTE,15368,"0,598","5471,31"
3116159,CHAPADA GAUCHA,13397,"0,635","10707,03"
3116209,CHIADOR,2702,"0,711","9425,99"
3116308,CIPOTANEA,6774,"0,579","6780,57"
3116407,CLARAVAL,4810,"0,698","23191,14"
3116506,CLARO DOS POCOES,7590,"0,67","7459,82"
3116605,CLAUDIO,28366,"0,709",18750
3116704,COIMBRA,7517,"0,669","11612,49"
3116803,COLUNA,8907,"0,583","8390,98"
3116902,COMENDADOR GOMES,3103,"0,697","30500,24"
3117009,COMERCINHO,7090,"0,593","6764,26"
3117108,CONCEICAO DA APARECIDA,10261,"0,691","17526,46"
3117207,CONCEICAO DAS PEDRAS,2811,"0,668","14495,3"
3117306,CONCEICAO DAS ALAGOAS,27425,"0,712","23967,34"
3117405,CONCEICAO DE IPANEMA,4570,"0,676","8473,53"
3117504,CONCEICAO DO MATO DENTRO,17641,"0,634","45700,21"
3117603,CONCEICAO DO PARA,5480,"0,7","36788,76"
3117702,CONCEICAO DO RIO VERDE,13590,"0,665","13157,59"
3117801,CONCEICAO DOS OUROS,11525,"0,703","11712,32"
3117836,CONEGO MARINHO,7595,"0,621","5932,97"
3117876,CONFINS,6657,"0,747","121530,44"
3117900,CONGONHAL,11813,"0,712","14694,45"
3118007,CONGONHAS,54196,"0,753","53975,1"
3118106,CONGONHAS DO NORTE,5044,"0,568","7114,82"
3118205,CONQUISTA,6908,"0,729","39402,75"
3118304,CONSELHEIRO LAFAIETE,127539,"0,761","14952,68"
3118403,CONSELHEIRO PENA,22892,"0,662","11312,49"
3118502,CONSOLACAO,1782,"0,673","12624,33"
3118601,CONTAGEM,659070,"0,756","40100,98"
3118700,COQUEIRAL,9191,"0,694","13348,52"
3118809,CORACAO DE JESUS,26592,"0,642","7339,22"
3118908,CORDISBURGO,8883,"0,656","10187,97"
3119005,CORDISLANDIA,3534,"0,66","14213,31"
3119104,CORINTO,23797,"0,68","11862,97"
3119203,COROACI,10040,"0,626","8561,52"
3119302,COROMANDEL,27982,"0,708","28332,24"
3119401,CORONEL FABRICIANO,109405,"0,755","14057,12"
3119500,CORONEL MURTA,9228,"0,627","8168,19"
3119609,CORONEL PACHECO,3080,"0,669","11903,16"
3119708,CORONEL XAVIER CHAVES,3426,"0,677","12327,05"
3119807,CORREGO DANTA,3241,"0,692","27010,39"
3119906,CORREGO DO BOM JESUS,3714,"0,692","8560,88"
3119955,CORREGO FUNDO,6290,"0,678","25117,3"
3120003,CORREGO NOVO,2814,"0,632","9714,05"
3120102,COUTO DE MAGALHAES DE MINAS,4396,"0,659","12544,18"
3120151,CRISOLITA,6646,"0,585","7376,16"
3120201,CRISTAIS,12660,"0,692","13065,02"
3120300,CRISTALIA,5960,"0,583","6252,81"
3120409,CRISTIANO OTONI,5145,"0,695","17019,46"
3120508,CRISTINA,10258,"0,668","13805,93"
3120607,CRUCILANDIA,5014,"0,651","10715,22"
3120706,CRUZEIRO DA FORTALEZA,4134,"0,696","18435,53"
3120805,CRUZILIA,15358,"0,695","12738,18"
3120839,CUPARAQUE,4960,"0,627","9464,38"
